DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2007,27.313,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2008,40.08,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2009,30.643,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2010,27.809,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2011,26.61,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2012,19.228,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2013,13.912,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2014,13.966,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2015,14.116,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2016,15.629,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2017,18.358,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2018,18.06,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2019,19.191,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2020,18.232,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2021,19.524,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2022,19.002,,
