DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2001,19.741,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2002,21.764,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2003,19.364,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2004,19.849,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2005,19.427,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2006,19.08,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2007,21.58,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2008,26.779,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2009,21.107,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2010,22.026,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2011,21.852,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2012,15.412,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Cyprus,2013,11.791,,
