DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2015,67381.3,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2016,68035.3,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2017,69123.0,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2018,71307.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2019,72893.5,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2020,63672.2,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2021,63382.8,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2022,71778.7,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2023,69558.5,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Austria,2024,68063.2,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2000,1584.0,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2001,1679.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2002,1828.1,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2003,1935.2,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2004,2128.6,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2005,2200.3,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2006,2332.8,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2007,2518.8,,
ESTAT:NAMA_10_A10(1.0),28/04/25 23:00:00,Annual,"Chain linked volumes (2015), million euro","Wholesale and retail trade, transport, accommodation and food service activities","Value added, gross",Bosnia and Herzegovina,2008,2652.5,,
